City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tuktoyaktuk,69.4541,-133.0374,51.8,100,100,5.75,CA,1660666765
Pevek,69.7008,170.3133,38.7,67,42,8.81,RU,1660666766
Sorong,-0.8833,131.25,76.23,88,100,3.06,ID,1660666766
Khatanga,71.9667,102.5,41.97,87,1,10.02,RU,1660666766
Hasaki,35.7333,140.8333,82.8,80,100,13.27,JP,1660666768
Arraial do Cabo,-22.9661,-42.0278,87.76,48,0,16.11,BR,1660666768
Coyhaique,-45.5752,-72.0662,39.15,65,75,8.05,CL,1660666768
Mataura,-46.1927,168.8643,46.67,93,100,2.39,NZ,1660666769
Hambantota,6.1241,81.1185,79.38,85,92,12.48,LK,1660666769
Río Gallegos,-51.6226,-69.2181,39.13,63,85,24.45,AR,1660666470
Port Elizabeth,-33.918,25.5701,63.32,43,0,8.05,ZA,1660666540
Havøysund,70.9963,24.6622,71.83,75,100,7.7,NO,1660666769
Brownfield,33.1812,-102.2744,83.95,51,100,8.52,US,1660666770
Rikitea,-23.1203,-134.9692,73.18,70,7,17.02,PF,1660666770
Mehamn,71.0357,27.8492,71.55,64,0,6.91,NO,1660666655
Albany,42.6001,-73.9662,82.06,45,93,1.99,US,1660666765
Sandwick,60.0,-1.25,51.62,76,75,16.11,GB,1660666771
Upernavik,72.7868,-56.1549,41.79,93,100,9.93,GL,1660666772
Ushuaia,-54.8,-68.3,37.06,70,75,3.44,AR,1660666772
Sioux Lookout,50.1001,-91.917,71.67,73,75,10.36,CA,1660666525
Carnarvon,-24.8667,113.6333,66.02,60,83,15.32,AU,1660666773
Te Anau,-45.4167,167.7167,45.95,98,100,1.88,NZ,1660666773
Bengkulu,-3.8004,102.2655,75.85,88,43,4.79,ID,1660666773
Vaini,-21.2,-175.2,69.96,88,20,12.66,TO,1660666774
Birjand,32.8663,59.2211,82.87,11,0,16.11,IR,1660666774
Tautira,-17.7333,-149.15,74.53,84,100,15.79,PF,1660666774
Lavrentiya,65.5833,-171.0,37.04,82,71,7.96,RU,1660666776
